"","id","name","image_url","is_closed","url","review_count","rating","price","phone","display_phone","distance","coordinates.latitude","coordinates.longitude","location.address1","location.city","location.zip_code","location.country","location.state","category","X","start","end","is.overnight","start.r","end.r"
"1","list-seattle","List","https://s3-media1.fl.yelpcdn.com/bphoto/1SAsDex924II8SouZwGzAw/o.jpg",FALSE,"https://www.yelp.com/biz/list-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",1487,4.5,"$$",12064411000,"(206) 441-1000",1264.68390943081,47.61334,-122.34587,"2226 1st Ave","Seattle",98121,"US","WA","italian",106,1600,0,FALSE,1600,0
"2","elliotts-oyster-house-seattle-2","Elliott's Oyster House","https://s3-media3.fl.yelpcdn.com/bphoto/Am6AabmBhkHHqrGRSg2clQ/o.jpg",FALSE,"https://www.yelp.com/biz/elliotts-oyster-house-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",2656,4,"$$$",12066234340,"(206) 623-4340",462.694593345238,47.6054699,-122.34092,"1201 Alaskan Way","Seattle",98101,"US","WA",NA,29,1100,2228.57142857143,FALSE,1100,2229
"3","chan-seattle-seattle-2","Chan Seattle","https://s3-media4.fl.yelpcdn.com/bphoto/GW_ZhVgN9AFy6R7uJwB8Ig/o.jpg",FALSE,"https://www.yelp.com/biz/chan-seattle-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",670,4.5,"$$",12064435443,"(206) 443-5443",754.980110375182,47.6098823547363,-122.341438293457,"86 Pine St","Seattle",98101,"US","WA",NA,168,1700,2200,FALSE,1700,2200
"4","il-corvo-pasta-seattle","Il Corvo Pasta","https://s3-media4.fl.yelpcdn.com/bphoto/hSlULB9cJ9xulzYDulwtYA/o.jpg",FALSE,"https://www.yelp.com/biz/il-corvo-pasta-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",811,4.5,"$$",12065380999,"(206) 538-0999",350.921597841024,47.60244,-122.33165,"217 James St","Seattle",98104,"US","WA","italian",93,1100,1500,FALSE,1100,1500
"5","spin-seattle-3","SPiN","https://s3-media3.fl.yelpcdn.com/bphoto/cDcT2A_fTMeXvOBJLfI6Tw/o.jpg",FALSE,"https://www.yelp.com/biz/spin-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",22,4.5,"$$",12066863593,"(206) 686-3593",765.060049082776,47.61157,-122.3353,"1511 6th Ave","Seattle",98101,"US","WA",NA,157,1371.42857142857,371.428571428571,TRUE,1371,371
"6","damn-the-weather-seattle","Damn the Weather","https://s3-media2.fl.yelpcdn.com/bphoto/PwwO_oHEXrxzgq88eGGJ9g/o.jpg",FALSE,"https://www.yelp.com/biz/damn-the-weather-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",328,4,"$$",12069461283,"(206) 946-1283",409.21136059322,47.6011167,-122.3340814,"116 1st Ave S","Seattle",98104,"US","WA",NA,6,1242.85714285714,1671.42857142857,TRUE,1243,1671
"7","the-organic-coup-seattle","The Organic Coup","https://s3-media3.fl.yelpcdn.com/bphoto/5Ca52DbGS6YjU_Lkib_LhA/o.jpg",FALSE,"https://www.yelp.com/biz/the-organic-coup-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",8,3,NA,12062575740,"(206) 257-5740",315.49969999808,47.6045299,-122.33061,"701 5th Ave","Seattle",98104,"US","WA",NA,218,700,1500,FALSE,700,1500
"8","med-mix-seattle-3","Med Mix","https://s3-media1.fl.yelpcdn.com/bphoto/sJglO0FfLi9fZ8KLmnWDqQ/o.jpg",FALSE,"https://www.yelp.com/biz/med-mix-seattle-3?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",8,5,"$",12063255642,"(206) 325-5642",2457.60871974117,47.59946,-122.30302,"2204 S Jackson St","Seattle",98144,"US","WA","mediterranean",232,1100,2100,FALSE,1100,2100
"9","tsukushinbo-seattle","Tsukushinbo","https://s3-media1.fl.yelpcdn.com/bphoto/DZ-Qsai5udTplG9e1k2r2Q/o.jpg",FALSE,"https://www.yelp.com/biz/tsukushinbo-seattle?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",688,4,"$$",12064674004,"(206) 467-4004",812.993357294182,47.59985,-122.32681,"515 S Main St","Seattle",98104,"US","WA","japanese",68,1534.54545454545,1920.90909090909,FALSE,1535,1921
"10","zheng-cafe-seattle-2","Zheng Cafe","https://s3-media4.fl.yelpcdn.com/bphoto/yqAr18IX2JxoWag4CjKW4g/o.jpg",FALSE,"https://www.yelp.com/biz/zheng-cafe-seattle-2?adjust_creative=V-95KnK8r1TowfO8sF8iTQ&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=V-95KnK8r1TowfO8sF8iTQ",28,5,"$$",12065882882,"(206) 588-2882",1920.99103291157,47.62071,-122.34476,"230 6th Ave N","Seattle",98109,"US","WA","chinese",227,1100,2000,FALSE,1100,2000
